recno,JName,RA_deg,Dec_deg,RA_str,Dec_str,P0_s,DM,S1400_mJy,W50_ms
1,J0006+1834,1.52,18.583056,00:06:04.80,+18:34:59.0,0.69374767047,1.4e-10,12.0,0.6
2,J0007+7303,1.757083,73.052056,00:07:01.70,+73:03:07.4,0.3158731909,3e-10,1.4,13900.0
3,J0014+4746,3.573958,47.775944,00:14:17.75,+47:46:33.4,1.240699038946,1.1e-11,30.85,0.07
4,J0023+0923,5.820333,9.389972,00:23:16.88,+09:23:23.9,0.4,0.3,0.00305,14.3
5,J0024-7204C,5.959792,-72.075417,00:23:50.35,-72:04:31.5,0.00575677999551,1.7e-16,24.599,0.002
6,J0024-7204D,6.057833,-72.078833,00:24:13.88,-72:04:43.8,0.00535757328486,1.8e-16,24.729,0.002
7,J0024-7204E,6.04625,-72.088917,00:24:11.10,-72:05:20.1,0.00353632915276,1.3e-16,24.23,0.002
8,J0024-7204F,6.016042,-72.078556,00:24:03.85,-72:04:42.8,0.00262357935251,1.4e-16,24.379,0.005
9,J0024-7204G,6.033167,-72.077694,00:24:07.96,-72:04:39.7,0.00404037914356,4e-16,24.441,0.005
10,J0024-7204H,6.027917,-72.068556,00:24:06.70,-72:04:06.8,0.00321034070935,5e-16,24.36,0.03
11,J0024-7204I,6.033042,-72.077694,00:24:07.93,-72:04:39.7,0.00348499206166,5e-16,24.42,0.02
12,J0024-7204J,5.997542,-72.066333,00:23:59.41,-72:03:58.8,0.00210063354535,3e-17,24.5848,0.0009
13,J0024-7204L,6.015708,-72.082472,00:24:03.77,-72:04:56.9,0.00434616799946,1.4e-15,24.38,0.05
14,J0024-7204M,5.977042,-72.091861,00:23:54.49,-72:05:30.7,0.0036766432176,1e-15,24.42,0.02
15,J0024-7204N,6.038292,-72.074694,00:24:09.19,-72:04:28.9,0.00305395434626,4e-16,24.56,0.03
16,J0024-7204O,6.019375,-72.081611,00:24:04.65,-72:04:53.8,0.00264334329724,3e-16,24.363,0.01
17,J0024-7204P,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.003643021,1e-09,24.3,0.1
18,J0024-7204Q,6.068708,-72.073667,00:24:16.49,-72:04:25.2,0.00403318118457,5e-16,24.29,0.02
19,J0024-7204R,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.003480463,1e-09,24.4,0.1
20,J0024-7204S,6.016583,-72.078417,00:24:03.98,-72:04:42.3,0.00283040595788,5e-16,24.353,0.009
21,J0024-7204T,6.035625,-72.077472,00:24:08.55,-72:04:38.9,0.00758847980736,5e-15,24.39,0.06
22,J0024-7204U,6.041,-72.066583,00:24:09.84,-72:03:59.7,0.00434282669639,4e-16,24.335,0.004
23,J0024-7204V,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.00481,1e-06,24.1,0.1
24,J0024-7204W,6.025292,-72.080278,00:24:06.07,-72:04:49.0,0.002352344,1e-09,24.3,0.1
25,J0024-7204X,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.004771,24.0,0.2,4.0
26,J0024-7204Y,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.00219666,24.2,0.1,4.0
27,J0024-7204Z,6.023625,-72.081278,00:24:05.67,-72:04:52.6,0.004554,24.47,0.01,4.0
28,J0026+6320,6.710667,63.333583,00:26:50.56,+63:20:00.9,0.318357731235,1e-12,230.31,13.6
29,J0030+0451,7.614292,4.861028,00:30:27.43,+04:51:39.7,3.3,0.2,0.00486545320737,3e-16
30,J0033+57,8.25,57.0,00:33:00.00,+57:00:00.0,0.315,76.0,3.34,3.34
31,J0033+61,8.25,61.0,00:33:00.00,+61:00:00.0,0.912,37.0,1.92,1.92
32,J0034-0534,8.590958,-5.576833,00:34:21.83,-05:34:36.6,0.00187718188458,2e-16,13.76517,4e-05
33,J0034-0721,8.536958,-7.364833,00:34:08.87,-07:21:53.4,0.93,0.08,0.9429509945598,1.7e-12
34,J0034+69,8.5,69.716667,00:34:00.00,+69:43:00.0,0.03680412,1.6e-07,80.0,0.3
35,J0040+5716,10.134833,57.273583,00:40:32.36,+57:16:24.9,1.1182253452412,1.3e-12,92.595,0.009
36,J0045-7042,11.357042,-70.701972,00:45:25.69,-70:42:07.1,0.63233580002,6e-11,70.0,3.0
37,J0045-7319,11.3965,-73.3175,00:45:35.16,-73:19:03.0,0.92627590497,3e-11,105.4,0.7
38,J0048+3412,12.141583,34.202222,00:48:33.98,+34:12:08.0,1.217094296058,8e-12,39.94,0.04
39,J0051+0423,12.875417,4.380278,00:51:30.10,+04:22:49.0,0.3547317989,1e-11,13.9,0.1
40,J0053+69,13.25,69.65,00:53:00.00,+69:39:00.0,0.832938,2.8e-05,117.0,2.0
41,J0054+66,13.5,66.0,00:54:00.00,+66:00:00.0,1.39,15.0,0.81,0.81
42,J0054+69,13.616667,69.433333,00:54:28.00,+69:26:00.0,90.3,0.2,4.73,4.73
43,J0055+5117,13.939083,51.290278,00:55:45.38,+51:17:25.0,2.115171148865,4e-12,44.125,0.01
44,J0056+4756,14.106292,47.93625,00:56:25.51,+47:56:10.5,0.472036662076,7e-12,18.09,0.04
45,J0057-7201,14.433333,-72.021944,00:57:44.00,-72:01:19.0,0.7380624426,2e-10,27.0,5.0
46,J0058+6125,14.5,61.416667,00:58:00.00,+61:25:00.0,0.637,129.0,5.81,5.81
47,J0059+50,14.75,50.033333,00:59:00.00,+50:02:00.0,0.996009,6.1e-05,67.0,2.0
48,J0100-7211,15.179292,-72.192667,01:00:43.03,-72:11:33.6,8.020392,9e-06,59.7,6760.0
49,J0101-6422,15.296333,-64.375056,01:01:11.12,-64:22:30.2,0.00257315197217,2e-16,11.926,0.001
50,J0102+4839,15.75,48.0,01:03:00.00,+48:00:00.0,0.00296,53.5,0.5,4.03
51,J0102+6537,15.637333,65.620389,01:02:32.96,+65:37:13.4,1.679164229064,1.2e-11,65.853,0.02
52,J0103+54,15.904167,54.033333,01:03:37.00,+54:02:00.0,0.354304,6e-06,55.605,0.004
53,J0106+4855,16.604417,48.931056,01:06:25.06,+48:55:51.8,0.083157305005,6e-13,70.87,0.2
54,J0108-1431,17.034792,-14.530611,01:08:08.35,-14:31:50.2,4.2,1.4,0.807564614019,2e-11
55,J0108+6608,17.094333,66.142778,01:08:22.64,+66:08:34.0,1.2836598429,5e-10,30.46,0.05
56,J0108+6905,17.122917,69.097944,01:08:29.50,+69:05:52.6,1.071118109859,5e-12,61.092,0.02
57,J0111-7131,17.869875,-71.529667,01:11:28.77,-71:31:46.8,0.68854151164,5e-11,76.0,3.0
58,J0112+66,18.0,66.366667,01:12:00.00,+66:22:00.0,4.30124,0.0007,112.0,3.0
59,J0113-7220,18.296208,-72.342278,01:13:11.09,-72:20:32.2,0.32588301613,1e-11,125.49,0.03
60,J0117+5914,19.411083,59.244,01:17:38.66,+59:14:38.4,0.1014390664824,2e-12,49.423,0.004
61,J0125+62,21.5,62.583333,01:26:00.00,+62:35:00.0,1.708233,9.8e-05,118.0,2.0
62,J0131-7310,22.868792,-73.16925,01:31:28.51,-73:10:09.3,0.348124045581,7e-12,205.2,0.7
63,J0133-6957,23.38525,-69.95825,01:33:32.46,-69:57:29.7,0.463473741703,3e-12,22.948,0.008
64,J0134-2937,23.577792,-29.621361,01:34:18.67,-29:37:16.9,0.1369615841351,1e-13,21.806,0.006
65,J0136+63,24.0,63.7,01:36:00.00,+63:42:00.0,0.717895,2.7e-05,286.0,2.0
66,J0137+1654,24.3495,16.911694,01:37:23.88,+16:54:42.1,0.4147630265082,5e-13,26.6,0.4
67,J0139+5621,24.910667,56.360222,01:39:38.56,+56:21:36.8,1.77534382596,1e-10,101.842,0.03
68,J0139+5814,24.83225,58.242167,01:39:19.74,+58:14:31.8,0.37,0.04,0.27245063095,1.5e-11
69,J0141+6009,25.416417,60.158972,01:41:39.94,+60:09:32.3,1.2229485205457,1.8e-12,34.926,0.004
70,J0141+63,25.25,63.133333,01:41:00.00,+63:08:00.0,0.04668588,4.9e-07,272.6,0.4
71,J0146+6145,26.593417,61.750778,01:46:22.42,+61:45:02.8,8.6889941,4e-07,3.6,69100.0
72,J0147+5922,26.936042,59.367583,01:47:44.65,+59:22:03.3,0.19632137543003,1.6e-13,40.111,0.003
73,J0151-0635,27.844583,-6.584111,01:51:22.70,-06:35:02.8,1.464664549334,7e-12,25.66,0.03
74,J0152+0948,28.098875,9.802778,01:52:23.73,+09:48:10.0,2.74664729014,1e-10,21.87,0.02
75,J0152-1637,28.045208,-16.631389,01:52:10.85,-16:37:53.0,0.8327416126878,1.3e-12,11.92577,4e-05
76,J0156+3949,29.23,39.824722,01:56:55.20,+39:49:29.0,1.81156061131,1e-10,60.0,0.6
77,J0157+6212,29.458042,62.207194,01:57:49.93,+62:12:25.9,2.35174493646,7e-11,30.21,0.03
78,J0158+21,29.620833,21.133333,01:58:29.00,+21:08:00.0,0.5053,20.0,1.45,1.45
79,J0201+7005,30.42225,70.088361,02:01:41.34,+70:05:18.1,1.349184471846,1e-11,21.029,0.002
80,J0205+6449,31.408,64.828139,02:05:37.92,+64:49:41.3,0.06571592849324,9e-14,140.7,0.3
81,J0206-4028,31.505292,-40.467861,02:06:01.27,-40:28:04.3,0.630550140847,6e-12,12.9,1.0
82,J0211-8159,32.995833,-81.993389,02:11:59.00,-81:59:36.2,1.0773327013,8e-10,24.36,0.03
83,J0212+5222,33.2175,52.379167,02:12:52.20,+52:22:45.0,0.376386292,1e-09,38.0,4.1
84,J0214+5222,33.730292,52.378028,02:14:55.27,+52:22:40.9,0.02457529479071,2.2e-13,22.0354,0.003
85,J0215+6218,33.985958,62.309278,02:15:56.63,+62:18:33.4,0.548879819155,3e-12,84.0,0.05
86,J0218+4232,34.5265,42.538167,02:18:06.36,+42:32:17.4,0.16,0.09,0.00232309046783,1.7e-15
87,J0229+20,37.2625,20.966667,02:29:03.00,+20:58:00.0,0.8069,27.0,2.97,2.97
88,J0231+7026,37.808292,70.44275,02:31:13.99,+70:26:33.9,1.466820306152,7e-12,46.64,0.03
89,J0241+16,40.441667,16.066667,02:41:46.00,+16:04:00.0,1.5454,16.0,1.01,1.01
90,J0242+62,40.645833,62.947222,02:42:35.00,+62:56:50.0,0.592,4.0,0.21,0.21
91,J0243+6027,40.75,60.45,02:43:00.00,+60:27:00.0,1.473,141.0,6.99,6.99
92,J0244+14,41.2125,14.45,02:44:51.00,+14:27:00.0,2.1281,31.0,2.73,2.73
93,J0248+6021,42.077583,60.359639,02:48:18.62,+60:21:34.7,0.217094,5e-06,370.0,1.0
94,J0255-5304,43.98425,-53.072611,02:55:56.22,-53:04:21.4,0.447708444058,3e-12,15.9,0.5
95,J0304+1932,46.137958,19.547611,03:04:33.11,+19:32:51.4,1.387584446262,3e-12,15.737,0.009
96,J0308+74,47.0,74.0,03:08:00.00,+74:00:00.0,0.00316,6.35,0.3,0.34
97,J0323+3944,50.860917,39.748028,03:23:26.62,+39:44:52.9,3.032071956385,1e-11,26.173,0.002
98,J0324+5239,51.231083,52.658694,03:24:55.46,+52:39:31.3,0.336620230291,3e-12,119.0,6.28
99,J0325+67,51.5,67.816667,03:26:00.00,+67:49:00.0,1.364741,6.2e-05,65.0,2.0
100,J0329+1654,52.285625,16.900556,03:29:08.55,+16:54:02.0,0.893319660649,1e-12,42.1,0.2
101,J0332+5434,53.247375,54.578778,03:32:59.37,+54:34:43.6,0.94,0.11,0.714519699726,4e-12
102,J0332+79,53.1875,79.166667,03:32:45.00,+79:10:00.0,2.05621,6e-05,16.67,0.02
103,J0335+4555,53.819375,45.931528,03:35:16.65,+45:55:53.5,0.26920054092953,1.3e-13,47.153,0.003
104,J0337+1715,54.432625,17.254111,03:37:43.83,+17:15:14.8,0.00273258863244,9e-14,21.3162,0.0003
105,J0338+66,54.75,66.733333,03:39:00.00,+66:44:00.0,1.762,0.00015,67.0,2.0
106,J0340+4130,55.097042,41.512583,03:40:23.29,+41:30:45.3,0.7,0.7,0.00329,49.6
107,J0341+5711,55.25,57.183333,03:41:00.00,+57:11:00.0,1.888,100.0,364.7,4.47
108,J0343-3000,55.866417,-30.007639,03:43:27.94,-30:00:27.5,2.59702715738,9e-11,20.2,0.3
109,J0343+5312,55.80375,53.214833,03:43:12.90,+53:12:53.4,1.934478067294,1.5e-11,67.3,0.06
110,J0348+0432,57.181833,4.536528,03:48:43.64,+04:32:11.5,0.03912265690178,7e-16,40.46313,0.0001
111,J0357+3205,59.46875,32.090278,03:57:52.50,+32:05:25.0,0.4441044988,6e-10,540000.0,5.9e+33
112,J0357+5236,59.43675,52.616028,03:57:44.82,+52:36:57.7,0.1970300980314,3e-13,103.706,0.004
113,J0358+42,59.5,42.1,03:58:00.00,+42:06:00.0,0.2264777,5e-06,46.0,1.0
114,J0358+5413,59.723833,54.220472,03:58:53.72,+54:13:13.7,0.91,0.16,0.1563824177774,1.5e-12
115,J0358+66,59.5,66.666667,03:58:00.00,+66:40:00.0,0.09150682,6.3e-07,62.3,0.4
116,J0401-7608,60.465333,-76.137167,04:01:51.68,-76:08:13.8,0.545252742352,1.6e-11,21.6,0.4
117,J0406+6138,61.625333,61.644722,04:06:30.08,+61:38:41.0,0.5945761650437,8e-13,65.303,0.007
118,J0407+1607,61.978917,16.121222,04:07:54.94,+16:07:16.4,0.02570173919463,2e-14,35.65,0.02
119,J0408+551,62.0,55.0,04:08:00.00,+55:00:00.0,1.837,55.0,2.04,2.04
120,J0408+552,62.0,55.0,04:08:00.00,+55:00:00.0,0.754,64.0,2.36,2.36
121,J0410-31,62.6625,-31.124722,04:10:39.00,-31:07:29.0,1.8785,0.0002,9.2,0.3
122,J0413+58,63.25,58.0,04:13:00.00,+58:00:00.0,0.687,57.0,2.24,2.24
123,J0415+6954,63.981875,69.90275,04:15:55.65,+69:54:09.9,0.3907150899386,3e-13,27.465,0.004
124,J0417+35,64.429167,35.75,04:17:43.00,+35:45:00.0,0.6544,3e-05,51.0,10.0
125,J0417+61,64.25,61.133333,04:17:00.00,+61:08:00.0,0.440283,1.3e-05,71.0,2.0
126,J0418-4154,64.5175,-41.903,04:18:04.20,-41:54:10.8,0.75711887132,6e-11,24.54,0.08
127,J0418+5732,64.641125,57.539694,04:18:33.87,+57:32:22.9,9.07838822,5e-08,35100000.0,2.2e+29
128,J0419+44,64.75,44.0,04:19:00.00,+44:00:00.0,1.241,71.0,3.12,3.12
129,J0420-5022,65.008125,-50.380028,04:20:01.95,-50:22:48.1,3.453004027,1.2e-08,1980000.0,2.6e+31
130,J0421-0345,65.389833,-3.751833,04:21:33.56,-03:45:06.6,2.161308494552,1.5e-11,44.61,0.09
131,J0426+4933,66.528375,49.560694,04:26:06.81,+49:33:38.5,0.922474730055,2e-12,85.0,3.6
132,J0435+27,68.891667,27.733333,04:35:34.00,+27:44:00.0,0.3262793,9e-07,53.0,5.0
133,J0437-4715,69.31625,-47.252528,04:37:15.90,-47:15:09.1,6.37,0.09,0.00575745193671,1.7e-17
134,J0447-04,71.75,-4.583333,04:47:00.00,-04:35:00.0,2.18819,2e-05,29.83,0.04
135,J0448-2749,72.173208,-27.829639,04:48:41.57,-27:49:46.7,0.4504483308563,1.7e-12,26.22,0.04
136,J0449-7031,72.273625,-70.525472,04:49:05.67,-70:31:31.7,0.479163971291,1.4e-11,65.83,0.07
137,J0450-1248,72.536583,-12.801972,04:50:08.78,-12:48:07.1,0.4380141493906,8e-13,37.041,0.01
138,J0451-67,72.958333,-67.3,04:51:50.00,-67:18:00.0,0.24545429,7e-08,45.0,1.0
139,J0452-1759,73.142125,-17.989833,04:52:34.11,-17:59:23.4,0.6,1.4,0.548939223294,3e-12
140,J0453+1559,73.439208,15.98925,04:53:45.41,+15:59:21.3,0.04578181687295,3.3e-15,30.3053,0.0003
141,J0454+5543,73.532292,55.728167,04:54:07.75,+55:43:41.4,0.84,0.05,0.340729436235,1e-11
142,J0455-6951,73.948125,-69.859528,04:55:47.55,-69:51:34.3,0.320422711526,1.2e-11,94.89,0.1
143,J0456-69,74.125,-69.166667,04:56:30.00,-69:10:00.0,0.117073051,1.5e-08,103.0,1.0
144,J0456-7031,74.010417,-70.5185,04:56:02.50,-70:31:06.6,0.80013207321,1e-10,100.3,0.3
145,J0457+23,74.275,23.566667,04:57:06.00,+23:34:00.0,0.5049,59.0,3.89,3.89
146,J0457-6337,74.282458,-63.625111,04:57:07.79,-63:37:30.4,2.49701169613,1.9e-10,27.5,1.0
147,J0457-69,74.258333,-69.766667,04:57:02.00,-69:46:00.0,0.231390388,7.3e-08,91.0,1.0
148,J0458-0505,74.654667,-5.08475,04:58:37.12,-05:05:05.1,1.88347965849,1.8e-10,47.806,0.03
149,J0458-67,74.745833,-67.716667,04:58:59.00,-67:43:00.0,1.1339,1.8e-06,97.0,2.0
150,J0459-0210,74.966417,-2.1685,04:59:51.94,-02:10:06.6,1.133076123659,6e-12,21.02,0.03
151,J0501+4516,75.278167,45.276083,05:01:06.76,+45:16:33.9,5.76209653,4e-08,2.2,15700.0
152,J0502+4654,75.519,46.901694,05:02:04.56,+46:54:06.1,0.638565481517,3e-12,42.187,0.008
153,J0502-6617,75.710542,-66.299667,05:02:50.53,-66:17:58.8,0.69125141818,4e-11,68.9,0.3
154,J0509+08,77.35,8.95,05:09:24.00,+08:57:00.0,0.0041,38.0,5.0,2.58
155,J0510+38,77.495833,38.2,05:09:59.00,+38:12:00.0,0.0765644,4.4e-07,69.0,1.0
156,J0511-6508,77.985417,-65.143472,05:11:56.50,-65:08:36.5,0.322061827468,8e-12,25.66,0.08
157,J0514-4002A,78.527875,-40.046917,05:14:06.69,-40:02:48.9,0.00499057511411,3e-15,52.1489,0.0006
158,J0514-4407,78.716,-44.118472,05:14:51.84,-44:07:06.5,0.3022,15.4,0.92,0.92
159,J0517+22,79.291667,22.266667,05:17:10.00,+22:16:00.0,0.222344,20.0,7.0,1.1
160,J0519+44,79.75,44.0,05:19:00.00,+44:00:00.0,0.515,52.0,2.03,2.03
161,J0519+54,80.0,54.416667,05:20:00.00,+54:25:00.0,0.340194,1.2e-05,43.0,1.0
162,J0519-6932,79.9455,-69.539861,05:19:46.92,-69:32:23.5,0.263211634568,3e-12,119.4,0.5
163,J0520-2553,80.150792,-25.88675,05:20:36.19,-25:53:12.3,0.2416421756731,7e-13,33.77,0.03
164,J0521-68,80.433333,-68.583333,05:21:44.00,-68:35:00.0,0.4334207,3e-07,136.0,4.0
165,J0522-6847,80.596083,-68.783944,05:22:23.06,-68:47:02.2,0.67453190906,3e-11,126.45,0.07
166,J0525+1115,81.485208,11.255306,05:25:56.45,+11:15:19.1,0.3544375945137,1.3e-13,79.345,0.003
167,J0525-6607,81.50375,-66.07675,05:26:00.90,-66:04:36.3,8.047,0.0002,1960.0,4.9e+33
168,J0528+2200,82.21775,22.001111,05:28:52.26,+22:00:04.0,3.7455392503,3e-11,50.937,0.02
169,J0529-6652,82.462167,-66.877278,05:29:50.92,-66:52:38.2,0.97572496638,6e-11,103.2,0.3
170,J0532-6639,83.247958,-66.660361,05:32:59.51,-66:39:37.3,0.64274275093,3e-11,69.3,2.0
171,J0532-69,83.016667,-69.766667,05:32:04.00,-69:46:00.0,0.57459786,7e-07,124.0,1.0
172,J0533+0402,83.357583,4.033472,05:33:25.82,+04:02:00.5,0.96301770198,2e-11,83.7,0.1
173,J0533+67,83.25,67.0,05:33:00.00,+67:00:00.0,0.00439,57.4,5.8,5.8
174,J0534+2200,83.633208,22.014472,05:34:31.97,+22:00:52.1,0.0333924123,1.2e-09,56.791,0.001
175,J0534-6703,83.650708,-67.063556,05:34:36.17,-67:03:48.8,1.81756503106,1.7e-10,94.7,1.0
176,J0535-66,83.916667,-66.866667,05:35:40.00,-66:52:00.0,0.210524357,3e-08,75.0,1.0
177,J0535-6935,83.75,-69.583333,05:35:00.00,-69:35:00.0,0.20051133,2e-08,93.7,0.4
178,J0536-7543,84.128292,-75.732417,05:36:30.79,-75:43:56.7,1.24585559629,5e-11,17.5,0.5
179,J0537-69,84.429167,-69.35,05:37:43.00,-69:21:00.0,0.112613212,2e-08,273.0,1.0
180,J0537-6910,84.447583,-69.172194,05:37:47.42,-69:10:19.9,0.0161222220245,4e-13,49.7,4930.0
181,J0538+2817,84.604417,28.285889,05:38:25.06,+28:17:09.2,0.72,0.12,0.14315825891177,1.1e-13
182,J0540+3207,85.154667,32.127028,05:40:37.12,+32:07:37.3,0.5242708632083,5e-13,61.97,0.04
183,J0540-6919,85.046667,-69.331722,05:40:11.20,-69:19:54.2,0.05049881764574,6e-14,146.5,0.2
184,J0540-7125,85.128333,-71.425389,05:40:30.80,-71:25:31.4,1.286014595,3e-09,29.41,0.07
185,J0542-68,85.645833,-68.266667,05:42:35.00,-68:16:00.0,0.425189,7.2e-07,114.0,5.0
186,J0543+2329,85.79025,23.484722,05:43:09.66,+23:29:05.0,0.2459747688901,1.9e-12,77.7115,0.002
187,J0543-6851,85.969625,-68.857028,05:43:52.71,-68:51:25.3,0.70895418575,6e-11,131.0,4.0
188,J0545-03,86.25,-3.166667,05:45:00.00,-03:10:00.0,1.07393,2e-05,67.2,0.4
189,J0546+2441,86.619833,24.689167,05:46:28.76,+24:41:21.0,2.84385038524,6e-11,73.81,0.03
190,J0554+3107,88.520875,31.128056,05:54:05.01,+31:07:41.0,0.464960965736,1.6e-11,51700.0,5.6e+34
191,J0555+3948,88.75,39.8,05:55:00.00,+39:48:00.0,1.1469058,2e-07,37.0,1.76
192,J0555-7056,88.757708,-70.946,05:55:01.85,-70:56:45.6,0.82783808575,7e-11,73.4,2.0
193,J0557+1550,89.381042,15.835,05:57:31.45,+15:50:06.0,0.00255636707678,6e-16,102.5723,0.0005
194,J0600-5756,90.19375,-57.948333,06:00:46.50,-57:56:54.0,2.261364513,3e-09,30.0,8.0
195,J0601-0527,90.49575,-5.464056,06:01:58.98,-05:27:50.6,0.3959691695432,5e-13,80.538,0.005
196,J0605+37,91.25,37.0,06:05:00.00,+37:00:00.0,0.00273,21.0,1.16,1.16
197,J0608+00,92.204167,0.65,06:08:49.00,+00:39:00.0,1.0762,48.0,2.58,2.58
198,J0609+2130,92.495375,21.500778,06:09:58.89,+21:30:02.8,0.05569801392951,2e-14,38.73,0.02
199,J0610-2100,92.556625,-21.007778,06:10:13.59,-21:00:28.0,0.0038613247043,6e-16,60.6662,0.002
200,J0610+37,92.75,37.3,06:11:00.00,+37:18:00.0,0.443861,1.4e-05,39.0,2.0
201,J0611+30,92.816667,30.266667,06:11:16.00,+30:16:00.0,1.41209,3e-06,45.3,1.4
202,J0612+3721,93.202875,37.360389,06:12:48.69,+37:21:37.4,0.29798232657184,1.8e-13,27.135,0.004
203,J0613-0200,93.43325,-2.013111,06:13:43.98,-02:00:47.2,0.86,0.13,0.00306184408768,1.5e-17
204,J0613+3731,93.300625,37.527306,06:13:12.15,+37:31:38.3,0.6191981811,7e-11,18.99,0.01
205,J0614+2229,93.5715,22.51,06:14:17.16,+22:30:36.0,0.33495996611,1.6e-10,96.91,0.07
206,J0614-3329,93.543125,-33.498361,06:14:10.35,-33:29:54.1,0.00314866957944,9e-15,37.049,0.001
207,J0614+83,93.5,83.233333,06:14:00.00,+83:14:00.0,1.039203,5.1e-05,44.0,1.0
208,J0621+0336,95.29675,3.612639,06:21:11.22,+03:36:45.5,0.2699540683678,9e-13,72.59,0.1
209,J0621+1002,95.342125,10.044083,06:21:22.11,+10:02:38.7,0.02885386073005,1e-15,36.601,0.0006
210,J0621+25,95.25,25.0,06:21:00.00,+25:00:00.0,0.00272,83.6,4.25,4.25
211,J0622+3749,95.543792,37.820444,06:22:10.51,+37:49:13.6,0.333208231801,6e-12,208000.0,2.7e+34
212,J0623+0340,95.944833,3.668556,06:23:46.76,+03:40:06.8,0.613759600022,7e-12,54.0,4.0
213,J0624-0424,96.083458,-4.414,06:24:20.03,-04:24:50.4,1.039076475851,1.5e-12,70.835,0.01
214,J0625+10,96.4375,10.266667,06:25:45.00,+10:16:00.0,0.498397,3e-06,78.0,20.0
215,J0627+0649,96.973458,6.831694,06:27:53.63,+06:49:54.1,0.346522567131,1.3e-11,86.6,0.08
216,J0627+0706,96.934042,7.10925,06:27:44.17,+07:06:33.3,0.47587700897,1.5e-10,138.15,0.1
217,J0627+16,96.804167,16.2,06:27:13.00,+16:12:00.0,2.18,113.0,5.87,5.87
218,J0628+0909,97.15075,9.153861,06:28:36.18,+09:09:13.9,1.241421391299,3e-12,88.3,0.2
219,J0629+2415,97.273875,24.262028,06:29:05.73,+24:15:43.3,0.476622836038,4e-12,84.195,0.004
220,J0630-0046,97.612333,-0.768278,06:30:26.96,-00:46:05.8,0.680574832268,7e-12,97.3,0.5
221,J0630-2834,97.705833,-28.578556,06:30:49.40,-28:34:42.8,3.01,0.41,1.24441859615,8e-11
222,J0631+1036,97.864667,10.617361,06:31:27.52,+10:37:02.5,0.287800021959,9e-12,125.36,0.01
223,J0633+0632,98.434208,6.543028,06:33:44.21,+06:32:34.9,0.29739519058,7e-11,59200.0,1.2e+35
224,J0633+1746,98.475625,17.77025,06:33:54.15,+17:46:12.9,6.4,1.8,0.2370994416923,2e-12
225,J0633-2015,98.286917,-20.251972,06:33:08.86,-20:15:07.1,3.2532108384,5e-10,90.7,0.2
226,J0635+0533,98.825,5.553056,06:35:18.00,+05:33:11.0,0.033856495,1.2e-08,,
227,J0636-4549,99.140583,-45.825722,06:36:33.74,-45:49:32.6,1.98459736713,4e-11,26.31,0.1
228,J0636+5129,99.020208,51.483333,06:36:04.85,+51:29:00.0,4.9,0.6,0.00286895284631,11.10598
229,J0645+5158,101.496167,51.970806,06:45:59.08,+51:58:14.9,1.3,0.3,0.00885349668613,7e-17
230,J0645+80,101.5,80.15,06:46:00.00,+80:09:00.0,0.657873,2.4e-05,50.0,3.0
231,J0646+0905,101.629125,9.097028,06:46:30.99,+09:05:49.3,0.9039132,7e-07,149.0,0.7
232,J0647+0913,101.815333,9.233194,06:47:15.68,+09:13:59.5,1.23485362778,3e-11,154.7,1.0
233,J0652-0142,103.046292,-1.708417,06:52:11.11,-01:42:30.3,0.924053918109,1.4e-11,116.3,1.0
234,J0653+8051,103.312875,80.866722,06:53:15.09,+80:52:00.2,1.214440511516,2e-12,33.332,0.02
235,J0656-2228,104.125875,-22.47375,06:56:30.21,-22:28:25.5,1.22475441462,3e-11,32.39,0.2
236,J0656-5449,104.204125,-54.820806,06:56:48.99,-54:49:14.9,0.183156898795,2e-12,67.5,1.0
237,J0658+0022,104.563375,0.376472,06:58:15.21,+00:22:35.3,0.563294925255,3e-12,122.0,0.7
238,J0659+1414,104.950542,14.239306,06:59:48.13,+14:14:21.5,3.47,0.36,0.384891195054,5e-12
239,J0700+6418,105.1575,64.303111,07:00:37.80,+64:18:11.2,0.19567094516627,1.6e-13,8.777,0.001
240,J0702-4956,105.66375,-49.942833,07:02:39.30,-49:56:34.2,0.66599359,5e-10,98.7,0.1
241,J0709-5923,107.385542,-59.398778,07:09:32.53,-59:23:55.6,0.485268383925,5e-12,65.0,2.0
242,J0711+0931,107.90075,9.523611,07:11:36.18,+09:31:25.0,1.21409049248,1e-11,45.0,0.1
243,J0711-6830,107.975792,-68.513167,07:11:54.19,-68:30:47.4,0.00549096850619,4e-17,18.4066,0.0006
244,J0719-2545,109.78075,-25.750056,07:19:07.38,-25:45:00.2,0.974724730631,9e-12,253.89,0.06
245,J0720-3125,110.104,-31.430583,07:20:24.96,-31:25:50.1,2.8,0.9,8.391115532,2.6e-08
246,J0721-2038,110.42875,-20.635306,07:21:42.90,-20:38:07.1,0.015542394974,8e-14,76.1,0.6
247,J0725-1635,111.251667,-16.596056,07:25:00.40,-16:35:45.8,0.4243114031834,1.1e-12,98.98,0.03
248,J0726-2612,111.533833,-26.210583,07:26:08.12,-26:12:38.1,3.4423084877,4e-10,69.4,0.4
